std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
SPEC S 062 WINE MAIN,LIQUOR/PACKAGE STORE,OFF,10515 N MOPAC BUILDING K,AUSTIN,TX,78735
Athens Hwy Package,LIQUOR/PACKAGE STORE,OFF,898 W Ridge Rd,Gainesville,GA,30501
ANGIE S WINES & SPIRITS,LIQUOR/PACKAGE STORE,OFF,329 MAMARONECK AVE,MAMARONECK,NY,10543
Island Spirit,LIQUOR/PACKAGE STORE,OFF,444 Johnny Mercer Blvd,Savannah,GA,31410
CHOICE LIQUORS,LIQUOR/PACKAGE STORE,OFF,680 WAPITI COURT,RIFLE,CO,81650
World Beverage (Cumming),LIQUOR/PACKAGE STORE,OFF,6190 GA Highway 400,Cumming,GA,30028
Royal Package,LIQUOR/PACKAGE STORE,OFF,5464 Lawrenceville  NW Hwy 29,Lilburn,GA,30047
LUKES LIQUORS,LIQUOR/PACKAGE STORE,OFF,3 WASHINGTON ST,CANTON,MA,02021
LIQUOR TOWN,LIQUOR/PACKAGE STORE,OFF,506 GRANBY RD,S HADLEY,MA,01075
A&M Beverage Company,LIQUOR/PACKAGE STORE,OFF,437 Lewiston Rd Ste 6,Grovetown,GA,30813
BASSER S FINE WINE INC (ON),LIQUOR/PACKAGE STORE,OFF,6240 CORAL RIDGE DR,CORAL SPRINGS,FL,33076
Two Guys Beverage & Tobacco NEW,LIQUOR/PACKAGE STORE,OFF,100 Rudell Rd,Vidalia,GA,30474
BEACON HILL WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,63 CHARLES ST,BOSTON,MA,02114
SIX CORNERS,LIQUOR/PACKAGE STORE,OFF,166 MILL RD,WESTHAMPTON BEACH,NY,11978
TOP SHELF WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,6415 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148
ANTHONY S BEER & WINE,LIQUOR/PACKAGE STORE,OFF,531 LINCOLN ST,MARLBORO,MA,01752
NORTH GEORGIA LIQUOR INC,LIQUOR/PACKAGE STORE,OFF,200 E LOUISE ST,Clarkesville,GA,30523
Jax Superstore,LIQUOR/PACKAGE STORE,OFF,2438 Hancock Dr,Buford,GA,30190
QUENCH LIQUORS INC,LIQUOR/PACKAGE STORE,OFF,217 WAVERLY AVE,PATCHOGUE,NY,11772
LEE S LIQUOR #3 LAKE MEAD,LIQUOR/PACKAGE STORE,OFF,7411 W LAKE MEAD BLVD,LAS VEGAS,NV,89128
LEE S LIQUOR 106 LV BLVD,LIQUOR/PACKAGE STORE,OFF,9110 LAS VEGAS BLVD,LAS VEGAS,NV,89123
LEE S LIQUOR #7 W FLAMINGO,LIQUOR/PACKAGE STORE,OFF,9355 W FLAMINGO RD,LAS VEGAS,NV,89147
LEE S LIQUOR #2 RANCHO,LIQUOR/PACKAGE STORE,OFF,4421 N RANCHO DR,LAS VEGAS,NV,89130
ROCKVILLE CENTRE WINE & SPIRIT,LIQUOR/PACKAGE STORE,OFF,218 N LONG BEACH RD,ROCKVILLE CENTRE,NY,11570
