std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code,id
CUT FIVE BOCA,RESTAURANT,ON,9500 SAUVIGNON PARKWAY,BOCA RATON,FL,33496,c52ece37-7caa-4a2f-b8e6-2738db7208c5
UCHI MIAMI,RESTAURANT,ON,252 NW 25TH ST,MIAMI,FL,33127,cd1f7a6b-af1d-405d-aced-e2ca1209caef
N AMO,RESTAURANT,ON,474 W LAKE DR,MONTAUK,NY,11954,0e3ac74e-00c2-4938-a6ea-6a50edd9daee
ASIAN MINT B,RESTAURANT,ON,5290 BELT LINE ROAD STE 118,ADDISON,TX,75254,8a8e152f-907a-4a51-bf26-0e9f957979d5
YUMIYAKI,RESTAURANT,ON,21 W 35TH ST,NEW YORK,NY,10001,ecb30ba0-e5d7-48ac-bee7-ca1063db8caf
GENGHIS COHEN,RESTAURANT,ON,734-36-38-40-42 N FAIRFAX AVE,LOS ANGELES,CA,90046,7f78a6c5-3d29-4c74-b663-04683ca0765e
Q HOUSE,RESTAURANT,ON,3421 E COLFAX AVE,DENVER,CO,80206,ee13f0c7-6125-421e-a7de-c38e8e379da7
VICTORIA S PISCO LOUNGE,RESTAURANT,ON,806 LAKE WORTH AVE,LAKE WORTH,FL,33460,ad38078c-c2dc-474b-a0e7-332ea1c59629
MAASS,RESTAURANT,ON,525 N FORT LAUDERDALE BCH BLVD,FORT LAUDERDALE,FL,33304,e685f99d-4f49-4822-a6b9-16b362a9ac51
DAUGHTER THAI KITCHEN & BAR,RESTAURANT,ON,1700 PLATTE STREET SUITE 140,DENVER,CO,80202,40dd73bb-59d5-4f24-85a6-f6786d9b981b
YUJO,RESTAURANT,ON,2626 N JOSEY LN STE 107,CARROLLTON,TX,75007,c54f2444-922b-440b-8b6e-5370c55cac2e
Harry & Sons,RESTAURANT,ON,820 N Highland Ave NE,Atlanta,GA,30306,bde0f09e-11b6-45d4-8655-2f13eca84ebc
Sensu Sushi Resturaunt and Bar,RESTAURANT,ON,300 Trilith Pkwy STE 270/275,Fayetteville,GA,30214,33dd36c9-f1ca-4870-bb04-20e6e7525dfa
DUEMANI,RESTAURANT,ON,216 SOUTH MONARCH STREET,ASPEN,CO,81611,a4a17b6d-8126-4bc1-ab1e-3c648f4c4e13
JOONAS & BEAR DEN ASPEN,RESTAURANT,ON,301 EAST HOSPKINS AVENUE,ASPEN,CO,81611,19e8d767-a120-45aa-9a96-a2cd0a64e780
SAGO,RESTAURANT,ON,485 S COAST HWY 101,ENCINITAS,CA,92024,a9942560-461e-4155-8a74-5b436ec550b6
Cork and Flame,RESTAURANT,ON,4414 Evans to Lock Rd STE 2,Evans,GA,30809,7da5f84e-785c-4086-8a90-e6e96b2dfdac
Dua Vietnamese Restaurant Inc,RESTAURANT,ON,805 Lanier Ave. W,Fayetteville,GA,30214,546b8dec-f87c-4774-8974-5dc98495518c
CLARK S OYSTER BAR,RESTAURANT,ON,517 E HYMAN AVENUE,ASPEN,CO,81611,e9e51d48-85d6-4576-9b89-79207f8cc525
YUJO,RESTAURANT,ON,16100 STATE HWY 121 BLDG B STE 200,FRISCO,TX,75035,b6f2795b-1406-467e-9bd7-a7c4264d71b2
IWA SUSHI & GRILL,RESTAURANT,ON,5940 ROYAL LANE,DALLAS,TX,75230,815cf967-4a8d-4367-a606-68dbd0d1fdbe
UMEKES FISH MARKET BAR & GRILL,RESTAURANT,ON,74-5599 PAWAI PLACE BLDG A,KAILUA KONA,HI,96740,7a88ef44-1e52-4980-848a-65854a9597b6
Fumi,RESTAURANT,ON,3550 Mall Blvd,Duluth,GA,30096,def0c761-291c-4fc9-b2de-8763ae04e021
MORIMOTO NAPA,RESTAURANT,ON,610 MAIN STREET,NAPA,CA,94559,3dbdc285-fcba-4298-a957-5915972790aa
KATAMI A,RESTAURANT,ON,2701 W DALLAS ST,HOUSTON,TX,77019,ab66046f-5304-415b-a1fb-6782eed2407a
Mai Kitchen,RESTAURANT,ON,1040 N. Highland Ave. NE,Atlanta,GA,30306,ba529053-310c-4f68-845a-5c252b352d62
TUCCI NEW YORK,RESTAURANT,ON,643 BROADWAY,NEW YORK,NY,10012,bda2a533-5f31-42e5-90c0-57182092bd28
Brush Sushi Buckhead,RESTAURANT,ON,3035 Peachtree Rd NE Ste G140,Atlanta,GA,30305,9583c64b-5750-4b56-a1c8-e2385aceffc0
SPARROW & WOLF,RESTAURANT,ON,4480 SPRING MOUNTAIN RD STE100,LAS VEGAS,NV,89102,881e398e-e76b-4e3f-a631-929f08489afa
JING,RESTAURANT,ON,5370 GREENWOOD PLAZA BLVD #101,ENGLEWOOD,CO,80111,8df17e55-2c3d-449a-bb88-fbcc174b423e
TOP SUSHI A,RESTAURANT,ON,24435 TOMBALL PARKWAY SUITE 70,TOMBALL,TX,77375,edaff787-c2fd-4ce0-afc4-cf50f9b51527
SSA GROUP,RESTAURANT,ON,325 5TH AVE N,SEATTLE,WA,98109,ad4b96d0-8954-4166-a328-502b442e0511
M GRILL,RESTAURANT,ON,3832 WILSHIRE BL #202,LOS ANGELES,CA,90010,686b8bb1-1b54-4774-9ead-b14b28e9ab7c
LITTLE DOMS,RESTAURANT,ON,2128 HILLHURST AV,LOS ANGELES,CA,90027,c367040b-7952-4eaa-b90c-a69c093c903f
FLEMINGS PRIME STEAKHOUSE,RESTAURANT,ON,800 W OLYMPIC BL #A135,LOS ANGELES,CA,90015,e72a459c-5036-4a89-898d-69f379d1ec8f
KANS THAI KITCHEN,RESTAURANT,ON,4838 N FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33308,3da21949-337a-4ef4-9364-161ef3b51d6e
HARRY S BEACH HOUSE,RESTAURANT,ON,2676 ALKI AVE SW,SEATTLE,WA,98116,09812b26-58fc-4388-9dcd-0e5c8f9dcbbd
JEFFREYS RESTAURANT & BAR,RESTAURANT,ON,1204 W LYNN ST INCLUDING 1601,AUSTIN,TX,78703,afd8d4e9-3c4d-4ac4-b68c-4fa97e424dc0
Grinds and Wines (Tavern on 74),RESTAURANT,ON,288 Hwy 74 N,Peachtree City,GA,30269,d560ebba-9a26-48ce-9c47-0780339aea43
NUNOS BISTRO & BAR,RESTAURANT,ON,2440 W ARROW RTE  STE #4A,UPLAND,CA,91786,5b3d8af2-521f-4b67-8a22-ac7ef72de0f2
ACE,RESTAURANT,ON,501 EAST 17TH AVENUE,DENVER,CO,80203,d76d1257-c755-4275-9661-7ed6f971f3a2
TRATTORIA BRAVA,RESTAURANT,ON,809 GRAND AVE #4,GLENWOOD SPRINGS,CO,81601,1bee9db7-445d-475f-ba45-3f128c3bc39a
NAM Kitchen,RESTAURANT,ON,6400 Blue Stone Rd STE 100,Sandy Springs,GA,30328,f15296ae-35e8-41a6-8f0d-d5fc82758c53
Kizuna,RESTAURANT,ON,140 Progress Circle  #3,Blue Ridge,GA,30513,cdc81ff6-2fbe-4b97-ad64-b41c067be951
KOJIN NOODLE BAR,RESTAURANT,ON,422 EATON STREET,KEY WEST,FL,33040,885d2608-fde2-47c5-9a1f-cdf9b5cf8636
RUSTIC CANYON,RESTAURANT,ON,1119 WILSHIRE BL,SANTA MONICA,CA,90401,8d83d512-6448-4fe1-b751-759b6a6c5fb9
MIKATA,RESTAURANT,ON,H-41 237 PERIMETER CENTER PKWY NE S,Dunwoody,GA,30346,3dff373f-3810-453f-a360-944b7fd9ca9a
BRASSERIE BRIXTON,RESTAURANT,ON,3701 N WILLIAMS ST,DENVER,CO,80205,53e23a0c-a1a8-4342-89d8-182dc837f719
CUCINA 8 1/2,RESTAURANT,ON,9 WEST 57TH ST,NEW YORK,NY,10019,a3680ca6-76eb-46a7-b506-a2877c0bd2a4
Bon Ton,RESTAURANT,ON,214 Ponce DeLeon Ave NE,Atlanta,GA,30308,e2a1a5b0-9587-42dc-8d47-850f747504e7
RUSTIC HOUSE,RESTAURANT,ON,295 MAIN ST,LOS ALTOS,CA,94022,39c0ba70-e418-4b88-8589-3378375b95e8
MUSUME RESTAURANT,RESTAURANT,ON,2330 FLORA SUITE 100,DALLAS,TX,75201,e52425a7-9905-470d-9778-7cb6bb657163
Church,RESTAURANT,ON,466 Edgewood Ave SE Bldg 466,Atlanta,GA,30312,89d38405-20df-4609-8b38-05f1d3316c42
TORO,RESTAURANT,ON,5 S/E OF DOLORESE & 5TH ST,CARMEL,CA,93921,7c148b68-92c5-43ce-82c6-1d313a48d814
Sports Cafe,RESTAURANT,ON,8501 Tara Blvd,Jonesboro,GA,30236,310b13d3-8628-467d-a8df-40573c4f347a
PAPERFISH,RESTAURANT,ON,432 ESPANOLA WAY,MIAMI BEACH,FL,33139,e8d48574-87c7-4263-8260-ff2c2a42a2a5
MCNEAR S RSTR & BAR,RESTAURANT,ON,21-23 PETALUMA BLVD N,PETALUMA,CA,94952,583d8da0-6c15-4708-af1a-a140c63de007
MATY S/ITAMAE AO,RESTAURANT,ON,3255 NE 1ST AVE,MIAMI,FL,33137,cf8db789-a529-4465-bc28-1d10eb92d03c
FRENCH GRILL HOUSE,RESTAURANT,ON,427 NORTHWOOD ROAD,WEST PALM BEACH,FL,33407,8cc5751d-cb2d-42ef-a25d-6b0b9a6f3d06
BOND ST,RESTAURANT,ON,6 BOND ST,NEW YORK,NY,10012,9bd6ffa0-df39-48fb-acbf-ffdbe4ec11af
Flock To The Wok LLC,RESTAURANT,ON,37 Whitaker ST,Savannah,GA,31401,ef8e21df-368f-46d0-a64c-8145dac6e067
JIMOTO RAMEN,RESTAURANT,ON,616 EAST HYMAN,ASPEN,CO,81611,aa456014-1c94-4498-8680-a4e383ef285f
TINY GROCER,RESTAURANT,ON,4300 SPEEDWAY UNIT 101,AUSTIN,TX,78751,70ac09ed-eb1f-4078-b36f-26e3e8567425
